도메인,질문번호,질문,1순위 답변,2순위 답변,3순위 답변,답변항목 설명
여가,q10,10. 올해 여름 휴가를 가지 못했거나 계획이 없는 이유는 무엇입니까?,"1.0 (325명, 40.8%)","3.0 (158명, 19.8%)","9.0 (86명, 10.8%)","① 비용 부담 때문에
② 휴가 사용 후 밀려있을 업무가 부담돼서
③ 여유 시간이 부족해서
④ 휴가를 사용하려니 눈치가 보여서
⑤ 건강상의 이유 때문에
⑥ 유급 연차 휴가가 없거나 부족해서
⑦ 돌봐야 할 가족이 있어서
⑧ 휴가를 같이 보낼 사람이 없어서
⑨ 성수기 지나고 가려고
⑩ 기타(             )"
여가,q11_1,"11. 귀하는 수원에서 ‘도심 속 휴가’를 즐긴다면 무엇을 하고 싶습니까? 우선순위에 따라 2순위까지 응답해 주십시오
(1순위)","1.0 (434명, 24.4%)","2.0 (337명, 18.9%)","4.0 (303명, 17.0%)","① 수원 화성 및 화성행궁 방문
② 지역 축제 참여(수원화성문화제, 수원재즈페스티벌 등)
③ 공원(만석공원, 서호공원 등) 및 수목원 방문(일월수목원, 영흥수목원)
④ 호캉스, 에캉스 등 숙소에서 휴식
⑤ 아웃도어 활동(걷기, 등산 등)			
⑥ 미술관/박물관, 공연예술/ 공연 관람
⑦ 드라마․영화 촬영지 방문
⑧ 맛집탐방
⑨ 몰캉스(쇼핑몰+바캉스)
⑩ 스포츠 경기 관람
⑪ 캠핑, 차박
⑫ 기타(             ) "
여가,q11_2,"11. 귀하는 수원에서 ‘도심 속 휴가’를 즐긴다면 무엇을 하고 싶습니까? 우선순위에 따라 2순위까지 응답해 주십시오.
(2순위)","3.0 (300명, 16.8%)","2.0 (261명, 14.7%)","8.0 (230명, 12.9%)","① 수원 화성 및 화성행궁 방문
② 지역 축제 참여(수원화성문화제, 수원재즈페스티벌 등)
③ 공원(만석공원, 서호공원 등) 및 수목원 방문(일월수목원, 영흥수목원)
④ 호캉스, 에캉스 등 숙소에서 휴식
⑤ 아웃도어 활동(걷기, 등산 등)			
⑥ 미술관/박물관, 공연예술/ 공연 관람
⑦ 드라마․영화 촬영지 방문
⑧ 맛집탐방
⑨ 몰캉스(쇼핑몰+바캉스)
⑩ 스포츠 경기 관람
⑪ 캠핑, 차박
⑫ 기타(             ) "
정책 인지도·만족도(체감도),q2,2. 귀하는 수원시의 시책이나 시정 운영에 대해 평소 관심이 있으십니까?,"5.0 (613명, 34.4%)","4.0 (416명, 23.3%)","6.0 (404명, 22.7%)","① 전혀 관심이 없다
②
③
④ 보통이다
⑤
⑥
⑦ 매우 관심 있다"
정책 인지도·만족도(체감도),q3_1_3,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(3순위)","4.0 (154명, 15.3%)","5.0 (150명, 14.9%)","7.0 (149명, 14.8%)","① 새롭고 과감한 시도, 참신한 정책·사업들이 많아서
② 시민과의 소통, 홍보를 잘 하는 것 같아서
③ 수원특례시 현안에 대한 이해가 깊은 것 같아서
④ 추진력 있고 강단 있게 일하는 것 같아서
⑤ 정부, 경기도, 타지자체와의 협력을 잘하는 것 같아서
⑥ 평소 태도나 행동 등에서 신뢰감이 느껴져서
⑦ 무언가 계획을 갖고 일하는 느낌이어서
⑧ 열심히 일하는 것 같아서
⑨ 잘 모르겠다"
