질문번호,질문,답변1,답변2,답변3,답변항목 설명
q5_1,"5. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_1. 정책과정의 민주성","5 (540.7명, 31.7%)","4 (456.2명, 26.8%)","6 (426.1명, 25.0%)","① 매우 낮게 평가한다
②
③
④ 보통이다
⑤
⑥
⑦ 매우 높게 평가한다"
q5_2,"5. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_2. 정책의 이념적 지향","5 (515.9명, 30.3%)","4 (408.0명, 23.9%)","6 (407.2명, 23.9%)","① 매우 낮게 평가한다
②
③
④ 보통이다
⑤
⑥
⑦ 매우 높게 평가한다"
q5_3,"5. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_3. 정책목표의 달성도","5 (475.8명, 27.9%)","6 (449.4명, 26.4%)","4 (424.6명, 24.9%)","① 매우 낮게 평가한다
②
③
④ 보통이다
⑤
⑥
⑦ 매우 높게 평가한다"
q5_4,"5. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_4. 정책수혜집단의 만족도","5 (496.2명, 29.1%)","4 (470.4명, 27.6%)","6 (390.7명, 22.9%)","① 매우 낮게 평가한다
②
③
④ 보통이다
⑤
⑥
⑦ 매우 높게 평가한다"
q5_5,"5. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_5. 위기관리 대응","5 (543.2명, 31.9%)","6 (410.3명, 24.1%)","4 (407.4명, 23.9%)","① 매우 낮게 평가한다
②
③
④ 보통이다
⑤
⑥
⑦ 매우 높게 평가한다"
q6,6. 귀하는 수원시 의회의 의정활동 전반에 대해서 얼마나 만족하십니까? ,"5 (555.0명, 32.6%)","4 (404.2명, 23.7%)","6 (400.2명, 23.5%)","① 전혀 만족하지 못한다
②
③
④ 보통이다
⑤
⑥
⑦ 매우 만족한다"
q7,"7. 제12대 수원특례시의회 의정활동 시작 당시 가졌던 기대감과 현재 수원특례시의회의 성과를 비교할 때, 당시 기대감 대비 현재 성과는 어떻습니까?","2 (627.5명, 36.8%)","3 (446.4명, 26.2%)","1 (369.5명, 21.7%)","① 잘 할 것이라 기대했고, 기대한 만큼 대체로 잘 한다
② 별로 기대하지 않았는데, 기대 이상으로 잘 한다
③ 잘 할 것이라 기대했는데, 대체로 기대에 못 미친다
④ 별로 기대하지 않았고, 역시 잘 못한다
⑤ 잘 모르겠다 "
q8_1,8. 귀하는 다음 각 사람 또는 기관을 얼마나 신뢰하십니까? _1. 가족,"5 (886.4명, 52.0%)","4 (610.9명, 35.9%)","3 (179.6명, 10.5%)","① 전혀 신뢰하지 않는다
② 
③ 보통이다
④ 
⑤ 매우 신뢰한다"
q8_2,8. 귀하는 다음 각 사람 또는 기관을 얼마나 신뢰하십니까? _2. 친구,"4 (748.5명, 43.9%)","5 (518.8명, 30.5%)","3 (375.1명, 22.0%)","① 전혀 신뢰하지 않는다
② 
③ 보통이다
④ 
⑤ 매우 신뢰한다"
q8_3,8. 귀하는 다음 각 사람 또는 기관을 얼마나 신뢰하십니까? _3. 이웃,"3 (768.2명, 45.1%)","4 (543.2명, 31.9%)","2 (202.4명, 11.9%)","① 전혀 신뢰하지 않는다
② 
③ 보통이다
④ 
⑤ 매우 신뢰한다"
q8_4,8. 귀하는 다음 각 사람 또는 기관을 얼마나 신뢰하십니까? _4. 처음 만난사람,"3 (661.1명, 38.8%)","2 (487.5명, 28.6%)","4 (261.7명, 15.4%)","① 전혀 신뢰하지 않는다
② 
③ 보통이다
④ 
⑤ 매우 신뢰한다"
q8_5,8. 귀하는 다음 각 사람 또는 기관을 얼마나 신뢰하십니까? _5. 수원 거주 외국인,"3 (753.1명, 44.2%)","2 (387.0명, 22.7%)","4 (294.9명, 17.3%)","① 전혀 신뢰하지 않는다
② 
③ 보통이다
④ 
⑤ 매우 신뢰한다"
q8_6,"8. 귀하는 다음 각 사람 또는 기관을 얼마나 신뢰하십니까? _6. 공공기관(수원시, 구청 등)","4 (721.5명, 42.4%)","3 (676.0명, 39.7%)","5 (169.9명, 10.0%)","① 전혀 신뢰하지 않는다
② 
③ 보통이다
④ 
⑤ 매우 신뢰한다"
q9_1,"9. 귀하의 가족, 이웃, 친구 중에 다음과 같은 사람이 있습니까? _1. 외국인 노동자","2 (1217.8명, 71.5%)","1 (485.7명, 28.5%)",,"① 있다
② 없다"
q9_2,"9. 귀하의 가족, 이웃, 친구 중에 다음과 같은 사람이 있습니까? _2. 외국 이주민","2 (1190.6명, 69.9%)","1 (512.9명, 30.1%)",,"① 있다
② 없다"
q9_3,"9. 귀하의 가족, 이웃, 친구 중에 다음과 같은 사람이 있습니까? _3. 다문화 학생","2 (1209.9명, 71.0%)","1 (493.5명, 29.0%)",,"① 있다
② 없다"
q9_4,"9. 귀하의 가족, 이웃, 친구 중에 다음과 같은 사람이 있습니까? _4. 장애인","2 (936.6명, 55.0%)","1 (766.8명, 45.0%)",,"① 있다
② 없다"
q9_5,"9. 귀하의 가족, 이웃, 친구 중에 다음과 같은 사람이 있습니까? _5. 새터민(북한이탈주민)","2 (1547.0명, 90.8%)","1 (156.5명, 9.2%)",,"① 있다
② 없다"
q9_6,"9. 귀하의 가족, 이웃, 친구 중에 다음과 같은 사람이 있습니까? _6. 성소수자","2 (1571.6명, 92.3%)","1 (131.8명, 7.7%)",,"① 있다
② 없다"
q9_7,"9. 귀하의 가족, 이웃, 친구 중에 다음과 같은 사람이 있습니까? _7. 난민","2 (1669.3명, 98.0%)","1 (34.2명, 2.0%)",,"① 있다
② 없다"
