질문번호,질문,답변1,답변2,답변3,답변항목 설명
q10_3_4,"10. 귀하는 다음의 사람들과의 관계에 대해 어떻게 생각하십니까? 
-나 혹은 자녀의 결혼 상대가 되는 것 _4. 장애인","2 (735.3명, 43.2%)","3 (462.8명, 27.2%)","1 (322.8명, 19.0%)","① 매우 불편하다
② 다소 불편하다
③ 별로 불편하지 않다
④ 전혀 불편하지 않다"
q10_3_5,"10. 귀하는 다음의 사람들과의 관계에 대해 어떻게 생각하십니까? 
-나 혹은 자녀의 결혼 상대가 되는 것 _5. 새터민(북한이탈주민)","2 (607.3명, 35.7%)","3 (580.3명, 34.1%)","1 (293.6명, 17.2%)","① 매우 불편하다
② 다소 불편하다
③ 별로 불편하지 않다
④ 전혀 불편하지 않다"
q10_3_6,"10. 귀하는 다음의 사람들과의 관계에 대해 어떻게 생각하십니까? 
-나 혹은 자녀의 결혼 상대가 되는 것 _6. 성소수자","1 (769.1명, 45.2%)","2 (504.6명, 29.6%)","3 (272.8명, 16.0%)","① 매우 불편하다
② 다소 불편하다
③ 별로 불편하지 않다
④ 전혀 불편하지 않다"
q10_3_7,"10. 귀하는 다음의 사람들과의 관계에 대해 어떻게 생각하십니까? 
_나 혹은 자녀의 결혼 상대가 되는 것 _7. 난민","2 (653.1명, 38.3%)","1 (486.3명, 28.5%)","3 (382.2명, 22.4%)","① 매우 불편하다
② 다소 불편하다
③ 별로 불편하지 않다
④ 전혀 불편하지 않다"
q11,11. 귀하께서 보시기에 수원시는 사회적 차별과 배제를 해소하기 위해 어느 정도 노력하고 있다고 생각하십니까?,"2 (1114.2명, 65.4%)","3 (323.8명, 19.0%)","1 (244.3명, 14.3%)","① 아주 많이 노력하는 편이다
② 어느 정도 노력하는 편이다
③ 별로 노력하지 않는 편이다
④ 전혀 노력하지 않는 편이다"
q12,12. 귀하께서 보시기에 수원시가 사회적 차별과 배제를 해소하고 함께 살아가는 포용사회를 만들기 위해 가장 우선해야 하는 일은 무엇이라고 생각하십니까?,"2 (505.0명, 29.6%)","4 (281.2명, 16.5%)","1 (228.8명, 13.4%)","① 공공시설 이용 차별이 없는 정책(예: 성소수자와 교감할 수 있는 생활문화시설 확충 등)
② 사회적 약자 및 소수자가 이용할 수 있는 기반 시설 확충(예: 장애인 시설 확충 )
③ 공공 일자리 차별이 없는 정책
④ 공공 일자리 선택에 차별 없는 채용 방식 (예: 단기근로자 채용, 아이돌봄지원 인력 채용 등)
⑤ 공공 정책에 다양한 시민들의 참여를 배제하지 않는 정책
⑥ 공공 정책 지원대상 범위 확대 
⑦ 국내 적응을 위한 지원 정책(예: 이주노동자, 난민 등)
⑧ 공공정책의 투명성과 책임성을 높이기 위한 정책
⑨ 기타 (            )"
q12_op,,"남녀갈등이 심한 사회가 되었습니다. 이를 해소할 수 있는 정책이 필요하다고 생각합니다. (6.6명, 48.9%)","똑같은 사람이라는 인식재고. 이런 식의 설문도 차별의 일종 같네요. (1.6명, 11.9%)","성소수자 인정하는 문화 반대해요. 남성.여성이지 중간은 자녀들에게 올바른성인식문화를 심어줄 수 있는 수원시가 되었으면 합니다. (1.0명, 7.4%)",
q13,13. 귀하는 ‘수원’에서 태어났습니까?,"2 (1393.4명, 81.8%)","1 (310.1명, 18.2%)",,"① 예
② 아니오"
q14,14. 귀하에게 ‘수원’은 어떤 의미를 주는 도시입니까?,"2 (770.0명, 46.2%)","3 (595.1명, 35.7%)","1 (223.7명, 13.4%)","① 태어나서 자란 도시			
② 태어나지 않았지만 고향이나 다름없는 도시
③ 마음을 붙이고 살만한 도시		
④ 기회가 있으면 떠나고 싶은 도시
⑤ 잠시 머무르는 도시			
⑥ 기타 (               )"
q14_op,,"타지역보다 재난(홍수)이 적은도시 (1.4명, 36.8%)","발전이 된다면 계속 살아볼 가치가 있는 도시 (0.6명, 15.8%)","직장 (0.6명, 15.8%)",
q15,15. 귀하는 ‘수원’ 하면 대표적으로 떠오르는 이미지가 있습니까?,"1 (1228.3명, 72.1%)","2 (475.1명, 27.9%)",,"① 있다
② 없다"
q15_op,,"화성 (104.6명, 8.6%)","수원화성 (82.7명, 6.8%)","수원 화성 (23.6명, 1.9%)",
q16_op,,"수원화성 (425.1명, 25.0%)","화성 (317.9명, 18.7%)","화성행궁 (227.8명, 13.4%)",
q17_1,"17. 귀하는 현재 ‘수원’이라는 도시를 어떻게 평가하십니까? 
_1. 역사와 전통이 있는 도시 ","4 (876.2명, 51.4%)","5 (658.1명, 38.6%)","3 (151.6명, 8.9%)","① 전혀 동의하지 않는다
② 동의하지 않는다
③ 보통이다
④ 동의한다
⑤ 매우 동의한다"
q17_10,"17. 귀하는 현재 ‘수원’이라는 도시를 어떻게 평가하십니까? 
_10. 녹지와 공원이 많은 도시","4 (803.5명, 47.2%)","3 (487.1명, 28.6%)","5 (335.5명, 19.7%)","① 전혀 동의하지 않는다
② 동의하지 않는다
③ 보통이다
④ 동의한다
⑤ 매우 동의한다"
